Method B,Metric,Value,Model,Task
ACDC,Precision,1.0,gpt2-small,ioi
EAP,Precision,0.6052631578947368,gpt2-small,ioi
Ours w/ th=0.2,Precision,0.5757575757575758,gpt2-small,ioi
ACDC,Recall,0.34615384615384615,gpt2-small,ioi
EAP,Recall,0.8846153846153846,gpt2-small,ioi
Ours w/ th=0.2,Recall,0.7307692307692307,gpt2-small,ioi
ACDC,F1-Score,0.5142857142857142,gpt2-small,ioi
EAP,F1-Score,0.71875,gpt2-small,ioi
Ours w/ th=0.2,F1-Score,0.6440677966101696,gpt2-small,ioi
